Time,Heat,DrySoil,DryAir,Wind,RainRelief,InstantRisk,DrynessInput,CarryoverRisk,FinalRisk,FinalRiskScore,FinalRiskBand
2026-02-01 00:00:00,0.27666666666666667,0.39649999999999996,0.040000000000000036,0.149,0.0,0.22430833333333333,0.23376666666666668,0.23376666666666668,0.011929147090972222,0.0,Low
2026-02-01 01:00:00,0.2833333333333333,0.6898333333333333,0.040000000000000036,0.179,0.0,0.304475,0.3527666666666667,0.2754166666666667,0.01907757888020833,0.0,Low
2026-02-01 02:00:00,0.27999999999999997,0.6996666666666667,0.040000000000000036,0.177,0.0,0.30546666666666666,0.35586666666666666,0.3035741666666667,0.021096481946944447,0.0,Low
2026-02-01 03:00:00,0.27666666666666667,0.7021666666666666,0.030000000000000027,0.16999999999999998,0.0,0.302375,0.3545333333333333,0.321409875,0.02210988574183594,0.0,Low
2026-02-01 04:00:00,0.26666666666666666,0.7015,0.020000000000000018,0.1785,0.03,0.2954833333333333,0.34426666666666667,0.32940975208333334,0.022143733334015536,0.0,Low
2026-02-01 05:00:00,0.25,0.7018333333333333,0.020000000000000018,0.193,0.02,0.29290833333333327,0.34223333333333333,0.3338980055208333,0.022249843138348144,0.0,Low
2026-02-01 06:00:00,0.23333333333333334,0.6983333333333333,0.010000000000000009,0.098,0.01,0.27144999999999997,0.33716666666666667,0.33504203692187495,0.020690479109855768,0.0,Low
2026-02-01 07:00:00,0.21000000000000002,0.7003333333333333,0.040000000000000036,0.244,0.06,0.28518333333333334,0.3266333333333333,0.3320989906658854,0.0215463196027017,0.0,Low
2026-02-01 08:00:00,0.18999999999999997,0.7018333333333333,0.040000000000000036,0.28500000000000003,0.06,0.28470833333333334,0.3222333333333333,0.32864601059949217,0.02128677868008292,0.0,Low
2026-02-01 09:00:00,0.16999999999999998,0.699,0.06000000000000005,0.2285,0.08,0.269525,0.3151,0.3239049068896699,0.01986085693169721,0.0,Low
2026-02-01 10:00:00,0.15,0.6976666666666667,0.06999999999999995,0.2305,0.06999999999999999,0.2649916666666666,0.31306666666666666,0.32011152281161875,0.01929811655341013,0.0,Low
2026-02-01 11:00:00,0.13333333333333333,0.699,0.06000000000000005,0.21000000000000002,0.03,0.2589166666666667,0.31593333333333334,0.3186491564942189,0.01876956386660541,0.0,Low
2026-02-01 12:00:00,0.12333333333333331,0.0,0.09999999999999998,0.2395,0.01,0.09309166666666666,0.04383333333333332,0.22246361838790896,0.004711413299417314,0.0,Low
2026-02-01 13:00:00,0.11666666666666667,0.0,0.13,0.2185,0.0,0.09310833333333333,0.048666666666666664,0.16163468528547414,0.0034237694754418505,0.0,Low
2026-02-01 14:00:00,0.11666666666666667,0.0,0.21999999999999997,0.2505,0.0,0.11140833333333333,0.06216666666666666,0.12682087876889153,0.003214325372328735,0.0,Low
2026-02-01 15:00:00,0.12333333333333331,0.401,0.21999999999999997,0.22149999999999997,0.01,0.20864166666666667,0.22223333333333334,0.16021523786644615,0.007604773142751277,0.0,Low
2026-02-01 16:00:00,0.13333333333333333,0.6908333333333334,0.18000000000000005,0.1545,0.0,0.26955,0.3366666666666667,0.22197323794652335,0.013611981630630423,0.0,Low
2026-02-01 17:00:00,0.15,0.7015,0.08999999999999997,0.086,0.0,0.254275,0.3316,0.2603426046652402,0.015060185094785272,0.0,Low
2026-02-01 18:00:00,0.16666666666666666,0.7,0.050000000000000044,0.08299999999999999,0.0,0.2532833333333333,0.32916666666666666,0.28443102636573947,0.016389472749953875,0.0,Low
2026-02-01 19:00:00,0.18666666666666665,0.7018333333333333,0.050000000000000044,0.10300000000000001,0.0,0.26374166666666665,0.33490000000000003,0.30209516713773066,0.018126081353573444,0.0,Low
